system:index,ST_B10_max,date,.geo
2021_01_05,106.0,05-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_06,,06-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_07,,07-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_08,111.0,08-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,,09-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_10,,10-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_11,,11-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_12,,12-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_13,,13-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_14,105.0,14-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_15,112.07168925193568,15-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_16,103.0,16-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,110.39956909107903,17-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_18,101.0,18-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_19,108.12160556264885,19-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_20,99.0,20-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_21,106.0,21-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_22,,22-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_23,104.01327353372804,23-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_24,111.16522449084553,24-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_25,102.0,25-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_26,109.0,26-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_27,100.0,27-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_28,107.0,28-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_29,,29-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_30,105.0,30-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_31,112.00984385047902,31-01-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_01,103.0,01-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_02,110.22857409819672,02-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_03,101.0,03-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_04,108.04780121028243,04-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_05,99.0,05-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_06,106.0,06-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_07,113.0,07-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_08,104.0,08-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_09,111.05295123144312,09-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_10,102.0,10-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_11,109.0,11-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_12,100.0,12-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_13,107.0,13-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_14,,14-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_15,105.0,15-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_16,112.0,16-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_17,103.0,17-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_18,110.11893491124269,18-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_19,,19-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_20,108.0,20-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_21,,21-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_22,106.0,22-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_23,113.0,23-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_24,104.0,24-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_25,111.0,25-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_26,102.0,26-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_27,109.0,27-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_28,100.0,28-02-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_01,107.0,01-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_02,,02-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_03,105.0,03-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_04,112.0,04-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_05,103.0,05-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_06,110.03606663698676,06-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_07,101.0,07-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_08,108.0,08-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_09,99.0,09-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_10,106.0,10-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_11,113.0,11-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_12,104.0,12-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_13,111.0,13-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_14,102.0,14-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_15,109.0,15-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_16,100.0,16-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_17,107.0,17-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_18,,18-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_19,105.0,19-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_20,112.0,20-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_21,103.0,21-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_22,110.0,22-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_23,101.0,23-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_24,108.0,24-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_25,99.0,25-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_26,106.0,26-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_27,,27-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_28,,28-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_29,,29-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_30,102.0,30-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_31,109.0,31-03-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_01,100.0,01-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_02,107.0,02-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_03,,03-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_04,105.0,04-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_05,112.0,05-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_06,103.0,06-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_07,110.0,07-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_08,101.0,08-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_09,108.0,09-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_10,99.0,10-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_11,106.0,11-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_12,,12-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_13,,13-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_14,,14-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_15,,15-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_16,109.0,16-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_17,100.0,17-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_18,107.0,18-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_19,,19-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_20,105.0,20-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_21,112.0,21-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_22,103.0,22-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_23,110.0,23-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_24,101.0,24-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_25,108.0,25-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_26,99.0,26-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_27,106.0,27-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_28,,28-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_29,104.0,29-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_30,,30-04-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_01,102.0,01-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_02,109.0,02-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_03,,03-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_04,107.0,04-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_05,,05-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_06,105.0,06-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_07,,07-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_08,,08-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_09,110.0,09-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_10,,10-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_11,,11-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_12,,12-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_13,106.0,13-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_14,,14-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_15,,15-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_16,,16-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_17,102.0,17-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_18,109.0,18-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_19,100.0,19-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_20,,20-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_21,,21-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_22,105.0,22-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_23,,23-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_24,103.0,24-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_25,,25-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_26,101.0,26-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_27,108.0,27-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_28,99.0,28-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_29,106.0,29-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_30,,30-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_31,104.0,31-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_01,111.0,01-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_02,102.0,02-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_03,,03-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_04,,04-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_05,,05-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_06,,06-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_07,105.0,07-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_08,112.0,08-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_09,103.0,09-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_10,,10-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_11,,11-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_12,108.0,12-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_13,,13-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_14,,14-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_15,,15-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_16,,16-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_17,,17-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_18,,18-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_19,,19-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_20,,20-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_21,107.0,21-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_22,,22-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_23,105.0,23-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_24,,24-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_25,103.0,25-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_26,,26-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_27,,27-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_28,,28-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_29,,29-06-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
